id,site,job_url,title,company,location,date_posted,job_type,description,experience_required
li-4410435663,linkedin,https://www.linkedin.com/jobs/view/4410435663,Machine Learning Engineer,Jobgether,"Singapore, Singapore",2026-05-07,fulltime,"*** 3+ years of hands-on experience in Python development.* 4+ years of experience in machine learning, deep learning, or large language model-based systems.* Strong experience working with cloud platforms (preferably AWS) for building and deploying AI/ML pipelines.* Experience designing scalable workflows for data ingestion, processing, labeling, and secure storage for model training.* Proven experience in training, fine-tuning, testing, and deploying machine learning models in production environments.* Solid understanding of computer vision techniques such as object detection, segmentation, and image classification.* Strong problem-solving skills with the ability to design scalable, fault-tolerant, and efficient systems.* Experience working independently and collaboratively in distributed, remote-first teams.* Excellent communication skills for effective collaboration across global engineering teams.* Familiarity with tools such as AWS SageMaker, AWS Bedrock, or NVIDIA AI platforms is a plus.* Exposure to media, audio, video, or image processing workflows is considered an advantage.**",4
li-4394760141,linkedin,https://www.linkedin.com/jobs/view/4394760141,Artificial Intelligence Engineer,Fullerton Health Singapore,"Singapore, Singapore",2026-05-07,fulltime,"- Bachelor’s degree in Computer Sciences, Mathematics, Statistics, Bioinformatics or a related field. - 1-3 years in an AI Engineer / Machine Learning Engineer (or similar) role, with experience building and shipping AI systems to production. - Strong Python skills for ML, data processing, and API/backend development (experience with async, performance optimisation is a plus). - Hands-on experience building applications with LLMs, including prompt engineering, RAG pipelines, embeddings, and model evaluation. - Proficiency with SQL/NoSQL (e.g. PostgreSQL, MongoDB) and vector databases for embeddings and semantic search. - Awareness of data privacy, AI safety, and secure deployment practices (especially for healthcare data). - Clear written and verbal communication; ability to explain complex AI concepts to technical and non-technical audiences. **By submitting your application, you grant consent to Fullerton Health and affiliates to utilize your information to assess job suitability and be considered for other suitable positions.**",1
li-4411407237,linkedin,https://www.linkedin.com/jobs/view/4411407237,AI Engineer,Airswift,"Singapore, Singapore",2026-05-07,contract,"AI Engineer – Performance Management **Experience:** 2–3 years **Function:** AI Engineering / Performance Management **Industry:** Oil & Gas **About The Role** Working with a major oil and gas company to deliver a portfolio of AI initiatives focused on project and performance management. We are looking for an AI Engineer who will design and build a bespoke project and performance management tools from the ground up, leveraging enterprise AI tools and state-of-the-art LLMs to transform how the business measures, analyzes, and improves operational performance on major projects. This role is ideal for an engineer who is genuinely passionate about generative AI, who keeps a close pulse on the rapidly evolving AI tooling landscape, and who is excited to apply that knowledge in a high-impact, real-world enterprise context. Key Responsibilities * Design, develop, and deploy enterprise CoPilot agents and workflows for members of the team to improve their productivity and decision-making* Design, develop, and deploy a bespoke an AI-powered performance management tool tailored to the client's operational and organizational needs.* Build LLM-driven workflows using enterprise AI systems,, Claude, Claude Code, and other leading models (e.g., ChatGPT, Gemini, open-source frontier models) to automate analysis, reporting, and decision support.* Integrate the tool with existing enterprise data sources (Data systems, SharePoint, Excel-based KPI trackers).* Develop and refine prompts, agentic workflows, and retrieval pipelines (RAG) to deliver accurate, context-aware insights to business users.* Act as a productivity coach for members of the team and teach an enthusiastic team how to get the most out of AI.* Translate business and operational performance requirements into robust, production-grade AI features.* Continuously evaluate and benchmark new models, frameworks, and tools, and recommend adoption where they add measurable value.* Partner with performance management leads, data teams, and end users to gather feedback and iterate quickly.* Ensure responsible AI practices including data privacy, security, hallucination mitigation, and clear human-in-the-loop controls — particularly important in a regulated oil & gas environment.**Required Qualifications & Experience*** 2–3 years of professional experience in AI, machine learning, data science, or software engineering, with hands-on exposure to LLM-based applications.* Practical experience building applications with modern LLMs and the Microsoft enterprise environment with CoPilot (Claude, ChatGPT, Llama, Gemini, or similar) including prompting, function calling/tool use, and agentic patterns.* Hands-on experience with Claude Code or comparable AI coding assistants for building production tools.* Strong programming skills in Python; familiarity with TypeScript/JavaScript a plus.* Experience with RAG pipelines, vector databases and orchestration frameworks* Comfortable working with APIs, cloud platforms (AWS, Azure), and integrating with enterprise data systems.* Excellent communication skills, with the ability to translate technical concepts for non-technical business stakeholders.* Genuine enthusiasm for AI — actively follows new tools, papers, and product releases, and can speak credibly about what's changed in the last 30–90 days.* Experience deploying AI solutions in enterprise environments with strict security and compliance requirements.* Front-end skills (React, Next.js) for building user-facing AI tools.* Experience with MCP (Model Context Protocol) servers and connector-based architecture.",2
li-4410436104,linkedin,https://www.linkedin.com/jobs/view/4410436104,AI Engineer - GenAI,Tap Growth ai,"Singapore, Singapore",2026-05-07,fulltime,"**🌟 We're Hiring: AI Engineer - GenAI! 🌟** We are seeking a highly motivated AI/ML Engineer specializing in Generative AI (GenAI) to design, develop, and deploy AI-powered solutions that drive business innovation and automation. The role focuses on building scalable machine learning and GenAI applications using modern AI frameworks, large language models (LLMs), and cloud-based AI services. The ideal candidate will have strong hands-on experience in Python, machine learning, NLP, and Generative AI technologies, with the ability to collaborate across business and technical teams to deliver impactful AI solutions. **📍 Location:** Singapore, Singapore **⏰ Work Mode:** Work From Office **💼 Role:** AI Engineer - GenAI **What You'll Do:*** Design, develop, and deploy AI/ML and Generative AI solutions for enterprise use cases.* Build and optimize applications leveraging: Large Language Models (LLMs), NLP pipelines, Prompt engineering techniques, Retrieval-Augmented Generation (RAG) architectures* Develop and maintain scalable ML pipelines for training, inference, and model deployment.* Fine-tune, evaluate, and optimize GenAI/LLM models for performance, accuracy, and cost efficiency.* Integrate AI solutions with enterprise systems, APIs, databases, and cloud platforms.* Work with structured and unstructured datasets for preprocessing, feature engineering, and model training.* Implement AI governance, security, and responsible AI best practices.* Collaborate with cross-functional teams to translate business requirements into AI-driven solutions.* Conduct experimentation, proof-of-concepts (POCs), and continuous model improvement initiatives.* Monitor and troubleshoot AI/ML applications in production environments.* Prepare technical documentation, model evaluation reports, and implementation guidelines.**What We're Looking For:** * Bachelor’s degree in Computer Science, Artificial Intelligence, Data Science, Engineering, or related field.* Proven experience in AI/ML Engineering with exposure to Generative AI solutions.* Strong programming proficiency in Python.* Hands-on experience with: Machine Learning frameworks (TensorFlow, PyTorch, Scikit-learn), NLP and LLM technologies, Prompt* engineering and RAG pipelines, Model deployment and inference APIs* Experience with AI/ML tools and frameworks such as: LangChain / LlamaIndex, Hugging Face, OpenAI APIs or equivalent LLM platforms* Understanding of: Deep learning concepts, Vector databases and embeddings, Data pipelines and ML lifecycle management* Experience working with cloud platforms such as AWS, Azure, or GCP is preferred.* Familiarity with Docker, APIs, and CI/CD practices is an advantage.* Strong analytical, problem-solving, and communication skills.* Ability to work independently and collaboratively in fast-paced environments. Ready to shape the future of AI? 🚀 Apply now and let's innovate together!",Not specified
li-4410459250,linkedin,https://www.linkedin.com/jobs/view/4410459250,AI Engineer,HCLTech,"Singapore, Singapore",2026-05-07,fulltime,"** * **Programming** : Proficiency in **Python** is essential, specifically for developing scalable backend services and AI logic.* **AWS Ecosystem** : Hands-on experience with AWS AI services including Bedrock, SageMaker AI, Lambda, S3, and API Gateway.* **AI Frameworks** : Deep experience with LangChain, LlamaIndex, and deep learning libraries like PyTorch or TensorFlow.* **API Development** : Skill in building and integrating RESTful APIs (e.g., FastAPI, Flask) to connect AI capabilities to enterprise systems.* **Security & Governance** : Understanding of Responsible AI practices, including guardrails against hallucinations and ensuring data privacy (GDPR/SOC2).**Preferred Qualifications** * **Cloud Certification** : AWS Certified Generative AI Developer - Professional or AWS Certified Machine Learning - Specialty.",Not specified
li-4409730758,linkedin,https://www.linkedin.com/jobs/view/4409730758,AI / ML Engineer,Helius Technologies,"Singapore, Singapore",2026-05-06,contract,"/ Qualifications Requirements: • Bachelor’s or master’s degree in computer science, Engineering, or a related field. • Proven experience as a GenAI Engineer, with a focus on Azure and OpenAI integration. Experience with AWS and Google GenAI services is preferred. • Strong programming skills in languages such as Python and/or Java. • Experience with Azure services, including Azure Machine Learning, Azure Cognitive Services, and Azure Functions. • Familiarity with OpenAI technologies, such as GPT-3/4 and reinforcement learning frameworks. • Solid understanding of machine learning algorithms and deep learning frameworks. • Proficiency in data preprocessing, feature engineering, and model evaluation techniques. • Strong problem-solving and analytical skills. • Excellent communication and collaboration abilities. • Ability to work independently and as part of a team in a fast-paced environment. Preferred Qualifications: • Experience with AWS services, such as Amazon SageMaker, AWS Lambda, and AWS AI/ML services. • Knowledge of Google Cloud services, including Google Cloud AI Platform, Google Cloud Functions, and Google Cloud AutoML. • Experience with cloud-based deployment and scaling of GenAI applications on Azure, AWS, and Google Cloud. • Knowledge of containerization technologies such as Docker and Kubernetes. • Familiarity with DevOps practices and tools for CI/CD pipelines. • Contributions to open-source GenAI or cloud service integration projects. Important Note: > Please share your resume in word format with dilip@helius-tech.com > Important Note: If this requirement is not a match for you please refer to your friends. > Interested professionals can reach out to me for Confidential Discussion @ +65- 9060-4050. Best Regards, Dilip Kumar Daga Vice President - Strategic Accounts Helius Technologies Pte Ltd 36, Robinson Road,#13-05, City House, Singapore 068877 DID: +(65) 6429-9407 Mobile: +(65) 9060-4050 Fax: +(65) 62222213 Email id: dilip@helius-tech.com http://helius-tech.com Registration No : R1108376 EA Licence No : 11C3373 https://www.linkedin.com/in/dilipdaga/",Not specified
li-3744649756,linkedin,https://www.linkedin.com/jobs/view/3744649756,Information Technology - Data Scientist (Data Science Track),Singapore Airlines,"Singapore, Singapore",2026-05-06,volunteer,"** * BS in Computer Science, Mathematics, Statistics, Physics or related discipline is required. PhD and MS degrees related to machine learning and other AI disciplines are preferred.* Intermediate programming skills in Python. Conversant with algorithm design/analysis, data structure and SQL. Familiarity with functional/object-oriented software development using modern programming languages such as Scala, TypeScript/JavaScript, Java and C# is a plus.* Exposure in the use of workflow/map-reduce and stream processing systems such as Spark and Kafka for big-data processing.* Relevant internship or industry experience as a hands-on data scientist/AI engineer in shallow and/or deep learning (you should be very comfortable with most topics covered in the free undergraduate textbook by Gareth James, “An Introduction to Statistical Learning – with Applications in Python”, 2023). Additional exposure in some of the following areas is a plus:+ Use of recent proprietary/open-source LLMs through prompt engineering (such as OpenAI ChatGPT and Bing Chat). Familiarity with LLM application/data frameworks (such as LlamaIndex and LangChain).+ Experience of using GPU-accelerated deep learning frameworks (such as PyTorch and TensorFlow).+ Familiarity with Bayesian statistics/inference and Bayesian/causal networks for probabilistic reasoning.* Some hands-on experience of AWS, Azure, GCP or other public cloud environment.* Good interpersonal and communication skills for working with both technical staff and non-technical business users.* Experience with Agile/Scrum/Kanban methodologies is a plus. We thank all candidates for your interest in Singapore Airlines, and regret that only shortlisted candidates will be notified.",Not specified
li-4409399111,linkedin,https://www.linkedin.com/jobs/view/4409399111,Graduate AI software engineer,Bending Spoons,"Singapore, Singapore",2026-05-05,fulltime,"At Bending Spoons, we’re striving to build one of the all-time great companies. A company that serves a huge number of customers. A company where team members grow to their full potential. A company that functions at unparalleled levels of effectiveness and efficiency. A company that creates value for shareowners at an extraordinary rate. And a company that does so while adhering to high ethical standards. In pursuit of this objective, we acquire and improve digital businesses, not to sell on, but to own and operate for the long term. The transformations we make are often deep—designed to speed up innovation, benefit customers, and strengthen business performance. Here, hierarchy is minimal and teams are small and talent-dense. We operate established products with the ambition, agility, and urgency of a startup. Across the company, we integrate AI deeply into how we work so that human judgment and machine intelligence reinforce each other. For a talented, driven, and collaborative individual, working at Bending Spoons is an opportunity to learn, make an impact, and progress their career at an exceptionally high rate. That’s our promise to such a candidate. **A few examples of your responsibilities** * **Build AI-powered product experiences.** Work with product teams to identify high-impact opportunities where AI can transform the user experience for millions—and then build these transformative solutions. Drive the process from possibility to production, delivering code that’s robust, reproducible, and built for scale.* **Amplify your impact with AI.** Integrate the most powerful AI tools directly into your development workflow—design, implementation, testing, and documentation—to move faster while maintaining high standards for correctness, reliability, and maintainability.* **Master your toolkit.** Work across diverse stacks with end-to-end ownership, choosing the right technologies for each challenge. From monoliths to microservices, gRPC to REST, Kubernetes to Docker, Python to Rust—you’ll apply technologies thoughtfully, focusing on depth and purpose rather than trends.* **Build software that matters.** Take real ownership from idea to production, creating systems used by millions and evolving them into products at scale.* **Simplify relentlessly.** Question every layer of complexity. Improve architectures, pipelines, and codebases to build systems that are simpler, more scalable, and easier to maintain.**What we look for** * **Reasoning ability.** Given the necessary knowledge, you can solve complex problems. You think from first principles, and structure your ideas sharply. You resist the influence of biases. You identify and take care of the details that matter.* **Drive.** You’re extremely ambitious in everything you do—and your initiative, effort, and tenacity match the intensity of your ambition. You feel deeply responsible for your work. You hold yourself to a high—and rising—bar.* **Team spirit.** You give generously and without the expectation of receiving in return. You support the best idea, not your idea. You're always happy to get your hands dirty to help your team. You’re reliable, honest, and transparent.* **Proficiency in English.** You read, write, and speak proficiently in English.**What we offer** * **Incredibly talented, entrepreneurial teams.** You’ll work in small, result-oriented, autonomous teams alongside some of the brightest people in your field.* **An exceptional opportunity for growth.** We go to great lengths to hire individuals of outstanding potential—then, our priority is to put them in the ideal position to thrive. Spooners in their 20s lead products worth hundreds of millions of dollars. And if you’ve got what it takes, you’ll soon be playing an essential role in major projects, too.* **Competitive pay and access to equity in the company.** Typically, we offer individuals at the start of their career an annual salary of £85,797 in London and €66,065 elsewhere in Europe. For a candidate that we assess as possessing considerable relevant experience, the salary on offer tends to be between £112,189 and £250,512 in London, and €107,837 and €188,848 elsewhere in Europe. Compensation varies by location and expected impact, and grows rapidly as you gain experience and translate it into greater contributions. For individuals who demonstrate exceptional capability, we may offer compensation that extends beyond the usual ranges to reflect their higher expected impact. If you're offered a permanent contract, you'll also be able receive some of your pay in company equity at a discounted price, thus participating in the value creation we achieve together. If relocating to Italy, you may enjoy a 50% tax cut.* **All. These. Benefits.** Flexible hours, remote working, unlimited backing for learning and training, top-of-the-market health insurance, a rich relocation package, generous parental support, and a yearly retreat to a stunning location. We help each Spooner set up the conditions to do their best work.* **A flexible start date and part-time options.** You don't need to wait until graduation to apply. We offer flexible start dates and the possibility to begin part-time, transitioning to full-time as you complete your degree. Many Spooners joined before graduating and progressively took on greater responsibility, with arrangements that allowed them to do so without compromising their education.**Commitment & contract** Permanent or fixed-term. Full-time. **Location** Milan (Italy), London (UK), Madrid (Spain), Warsaw (Poland) or remote in selected countries. **The selection process** In our screening process, we prioritize verifiable signals of excellence, regardless of seniority. Some people hold back because they feel they lack experience or have an “imperfect” CV. If you like the role and believe you could excel over time, don’t self-reject. If you pass our screening, you’ll be asked to complete one or more tests. They are challenging, may involve unfamiliar problems, and can take several hours. We set the bar high and won’t extend an offer until we’re confident we’ve found the right candidate. This is why a job may remain open for months or be reposted several times. We consider all applicants for employment and provide reasonable accommodations for individuals with disabilities—please let us know through this form. **Before you apply** If you’ve applied before but didn't receive an offer, we recommend waiting at least one year before applying again. Bending Spoons is a demanding environment. We’re extremely ambitious and we hold ourselves—and one another—to a high standard. While this tends to lead to extraordinary learning, achievement, and career growth, it also requires significant commitment. To help you ramp up quickly and set yourself up for success, we recommend spending your first few months working from our Milan office, regardless of your long-term work location. It’s the best way to rapidly absorb our company culture and build trust with your new teammates. We’ll support you with generous travel and accommodation assistance. After that, you’re welcome to work from our offices in Milan or London, or remotely from approved countries—depending on what we agree at the offer stage. If the role speaks to you and you’re excited to give your best, we’d love to hear from you. Apply now—we can’t wait to meet you.",Not specified
li-4400098755,linkedin,https://www.linkedin.com/jobs/view/4400098755,Junior Data Scientist,BNP Paribas,"Singapore, Singapore",2026-05-05,fulltime,"being functional and/or technical analysis. **Key Responsibilities*** Design, Development, and Deployment of AI Models: Design, train, and deploy artificial intelligence models, particularly those related to natural language processing based on cutting-edge architectures. Leverage textual data from various banking professions, while respecting ethical and confidentiality rules, to address diverse needs such as sentiment analysis, document categorization, summary generation, information extraction, and more.* Collaboration and Project Management: Collaborate with business experts, Product Owners, developers, and other data scientists to define project problems, data sources, performance indicators, and deliverables for artificial intelligence projects. Ensure the proper implementation of AI governance on projects.* Data Analysis and Research: Adapt to various operational requirements for data analysis, including unfamiliar and first-time topics. Collect and prepare the required data for analysis, utilizing concepts such as ETL and corresponding technologies. Conduct research and analysis using multiple methods and self-learn new APIs and data collection techniques as needed.* Automation and Visualization: Develop and implement automation scripts and reusable libraries to streamline controls and analysis. Create data visuals to identify deviations or risks, using indicators such as KPI, KRI, KSF, and CSF.* Documentation and Knowledge Sharing: Document each deliverable to provide context, facilitate understanding, and enable opportunities for new insights through automated analysis. Ensure proper technical deployment, development, and usage of services provided.* Innovation and Continuous Improvement: Conduct scientific and technological monitoring of artificial intelligence to propose innovation and continuous improvement paths.**Technical & Behavioral competencies****Experience*** Data Analysis and Science: Familiarity with data analytics techniques, including diagnostic analysis, prescriptive analysis, descriptive analysis, predictive analysis, cognitive analysis, statistical analysis, text analysis (NLP), and risk analysis* Technical Skills: Hands-on experience with programming languages such as Python, PowerShell, and SQL, APIs, methodologies like DevOps, operating systems, computer networks, and IT culture* Machine Learning and Artificial Intelligence: Familiarity with machine learning techniques, model training and inference, and prompt engineering* Coding and Development: Strong understanding of coding principles and methodologies, including generic-purpose programming languages and software development life cycles* At least 3 years of relevant working experience* Experience in project management & change management will be a plus* Previous experience in Multinational company On/Offshore model is preferred Behavioural * Good communication, problem solving and analytical skills - attention to details is important. Strong organization and multi-tasking skills. Flexibility to adapt to changes in a fast-paced environment under tight deadlines* Strong interpersonal skills & ability to develop relationships internally and externally to collaborate effectively* Collaboration and Communication: Excellent communication and collaboration skills, with ability to work with cross-functional teams* Proficient simplification and optimization skills & ability to develop and adapt a process, policy or procedure Required education/certification * Bachelor’s degree in Computer Science, Information Assurance, or a related degree or equivalent experience**Required Skills And Knowledge*** Strong understanding of artificial intelligence and data science concepts, including natural language processing and machine learning* Experience with data analysis, research, and automation* Ability to adapt to new technologies and methodologies* Excellent communication and collaboration skills* Strong problem-solving and analytical skills Desirable Skills and Knowledge * Experience with ETL and data visualization tools* Knowledge of AI governance and ethics* Familiarity with banking and financial services industry* Understanding of information security and risk management principles (desirable but not required)**About BNP PARIBAS** As the leading European Union bank, and one of the world’s largest financial institutions with an uninterrupted presence in the region since 1860, BNP Paribas offers a wide range of financial services for corporate, institutional and private investors spanning corporate and institutional banking, wealth management, asset management and insurance. We passionately embrace diversity and are committed to fostering an inclusive workplace where all employees are valued and encourage applicants of all backgrounds, including diversity of origin, age, gender, sexual orientation, gender identity, religion applicants who may be living with a disability. We have a number of internal employee networks in place to empower our staff to act and challenge the status quo. * BNP Paribas PRIDE is highly active in favour of the LGBTQIA+ community* BNP Paribas MixCity which fosters better representation of women at all levels of the organization* Ability, the mutual aid network for employees with a disability or a disabling or chronic illness* BNP Paribas CulturAll which celebrates diverse backgrounds BNP is committed to financing a carbon-neutral economy by 2050. The Group is a founding member of the Net-Zero Banking Alliance and has set up its own Low Carbon Transition Group to support its clients through their energy transitions. https://careers.apac.bnpparibas/",3
li-4409395377,linkedin,https://www.linkedin.com/jobs/view/4409395377,"Software Engineer, AI Infrastructure",ByteDance,"Singapore, Singapore",2026-05-05,fulltime,"**Responsibilities** Team Introduction Our team is dedicated to building a highly available and scalable general-purpose Serverless platform that embodies the philosophy of Function-as-a-Service (FaaS). By enabling one-click function creation and deployment while abstracting infrastructure and operational complexities, we significantly reduce developers' burdens in both development and maintenance. Leveraging lightweight function execution and rapid startup capabilities, our platform dynamically scales functions to optimize resource utilization and costs. Currently handling 100M+ QPS, our architecture and product scale are industry-leading. We seek innovative, passionate engineers with experience in high-availability systems to join us in pioneering the future of serverless computing. Responsibilities: - Develop AI Agent Ecosystems: Contribute to designing and building AI agent frameworks, tool integration systems, and multi-agent collaboration platforms. - Design Secure Sandbox Infrastructure: Lead the development of sandbox technologies to support secure and efficient large model inference and training workloads. - Enhance Serverless Platform: Drive the design and evolution of our FaaS platform, focusing on usability, scalability, and cost optimization for enterprise users. - Build Global High-Availability Architecture: Architect automated disaster recovery and fault tolerance mechanisms across multi-cluster and multi-region environments to achieve NoOps capabilities. - Optimize Cold Start Performance: Innovate solutions for large-scale cold start scenarios, delivering multi-layered optimization to meet the demanding requirements of serverless functions. **Qualifications** Minimum Qualifications: - Strong Programming Fundamentals: Proficiency in algorithms, data structures, and at least one programming language (Go, Python, Java, Node.js, Rust, C). - Distributed Systems Expertise: Hands-on experience with large-scale distributed systems, including system modeling and problem-solving in production environments. - Cloud Native Experience: Familiarity with Kubernetes, Knative, Firecracker, or similar open-source projects. - Serverless Product Knowledge: Experience with AWS Lambda, Google Cloud Functions, or equivalent platforms. Preferred Qualifications: - Familiarity with containerization, networking, and distributed tracing. If you're passionate about pushing the boundaries of serverless computing and thrive in fast-paced, innovative environments, we want to hear from you! **About Us** Founded in 2012, ByteDance's mission is to inspire creativity and enrich life. With a suite of more than a dozen products, including TikTok, Lemon8, CapCut and Pico as well as platforms specific to the China market, including Toutiao, Douyin, and Xigua, ByteDance has made it easier and more fun for people to connect with, consume, and create content.​ **Why Join ByteDance** Inspiring creativity is at the core of ByteDance's mission. Our innovative products are built to help people authentically express themselves, discover and connect – and our global, diverse teams make that possible. Together, we create value for our communities, inspire creativity and enrich life - a mission we work towards every day.​ As ByteDancers, we strive to do great things with great people. We lead with curiosity, humility, and a desire to make impact in a rapidly growing tech company. By constantly iterating and fostering an ""Always Day 1"" mindset, we achieve meaningful breakthroughs for ourselves, our Company, and our users. When we create and grow together, the possibilities are limitless. Join us.​ Diversity & Inclusion​ ByteDance is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At ByteDance, our mission is to inspire creativity and enrich life. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.​",Not specified
